time,region,number,spatial_ref,T,LOAD,population,height,T.historical.ukesm1_0_ll,T.historical.mpi_esm1_2_lr,T.historical.hadgem3_gc31_ll,T.historical.ipsl_cm6a_lr,T.ssp126.hadgem3_gc31_ll,T.ssp126.mpi_esm1_2_lr,T.ssp126.ipsl_cm6a_lr,T.ssp126.ukesm1_0_ll,T.ssp585.ipsl_cm6a_lr,T.ssp585.ukesm1_0_ll,T.ssp585.hadgem3_gc31_ll,T.ssp585.mpi_esm1_2_lr
1990-12-31,ALL_US,0,0,272.20386,2886496.0,246444701.0,1.5,270.3279685222034,272.6696626872663,273.34192251275846,271.6354856273173,,,,,,,,
1991-01-31,ALL_US,0,0,271.37045,2894741.030069956,246681528.0072692,1.5,271.1933511924028,272.5791977341082,267.4691032569564,270.0201568351359,,,,,,,,
1991-02-28,ALL_US,0,0,277.24652,2901620.2923198994,246904802.8081057,1.5,271.35136241977006,272.3789156109412,270.389448173584,270.54560960064646,,,,,,,,
1991-03-31,ALL_US,0,0,279.3044,2908607.9143748195,247162370.00268877,1.5,275.2292715470224,274.81012816643147,278.15573890819144,276.11928708829413,,,,,,,,
1991-04-30,ALL_US,0,0,284.57156,2914741.0815172205,247422004.34156486,1.5,282.4430098889085,281.62132267144335,284.25187087335337,282.2280423590553,,,,,,,,
1991-05-31,ALL_US,0,0,289.7759,2920428.671556595,247701014.78065896,1.5,286.2735026644926,288.9109374402323,289.3716324337223,285.32138098727665,,,,,,,,
1991-06-30,ALL_US,0,0,293.92133,2925303.7432000814,247981400.64648116,1.5,294.08707849477815,293.1967421512914,294.0943986135791,290.28608237174,,,,,,,,
1991-07-31,ALL_US,0,0,296.55276,2929691.30122391,248276027.97344682,1.5,297.2363127117409,295.7986452455393,297.1462670144245,294.84710839826994,,,,,,,,
1991-08-31,ALL_US,0,0,296.06775,2933418.18723984,248568699.88816413,1.5,296.78909951672125,295.9758388139223,295.8774793690965,295.5315695066649,,,,,,,,
1991-09-30,ALL_US,0,0,291.46646,2936395.8033767655,248850054.61768627,1.5,292.4782025103863,291.57364455344134,292.39586113691877,291.12815683934673,,,,,,,,
1991-10-31,ALL_US,0,0,285.80377,2938822.65737715,249138849.14398137,1.5,287.1874805074803,285.1847181543281,286.9131814072294,284.36486589556955,,,,,,,,
1991-11-30,ALL_US,0,0,277.08,2940542.178015161,249416451.56212708,1.5,276.89402476511736,277.08457028509025,277.60900077195646,277.23253902724355,,,,,,,,
1991-12-31,ALL_US,0,0,274.78326,2941669.0000000005,249701368.69999996,1.5,271.6292217216923,273.2585600445068,270.6843814429132,271.2833655571413,,,,,,,,
1992-01-31,ALL_US,0,0,273.67706,2942135.1499769394,249984315.36178935,1.5,270.31688354862604,272.3729653271215,271.8877905510158,269.0469078737354,,,,,,,,
1992-02-29,ALL_US,0,0,277.10724,2941973.1147869234,250247223.51450115,1.5,269.3454145274719,274.45275124079905,275.95646924632825,273.0254411038719,,,,,,,,
1992-03-31,ALL_US,0,0,280.06375,2941160.5447485717,250526356.351613,1.5,275.0741517858633,277.0712049841331,276.66599022911356,277.3086063730027,,,,,,,,
1992-04-30,ALL_US,0,0,284.56567,2939745.1388974837,250794608.74796847,1.5,280.22478270496083,283.04128347517906,281.6544276053503,283.1181828050317,,,,,,,,
1992-05-31,ALL_US,0,0,289.4724,2937632.5368435867,251069864.19665802,1.5,285.7938986695647,288.1269766866693,289.09870319881696,287.02524961180677,,,,,,,,
1992-06-30,ALL_US,0,0,293.0413,2934959.035493584,251334364.2816371,1.5,289.8092430301464,292.1226424175104,292.6918246984779,291.6307717230744,,,,,,,,
1992-07-31,ALL_US,0,0,294.93195,2932564.5046777446,251606864.99870792,1.5,295.8048017911734,296.0409188352783,297.2405662385519,295.5090621894229,,,,,,,,
1992-08-31,ALL_US,0,0,294.3378,2931682.3866875283,251879791.48827258,1.5,296.88691619457626,294.41993901999155,295.22468726306266,295.4815595900349,,,,,,,,
1992-09-30,ALL_US,0,0,291.39197,2932269.8196492204,252144320.47734106,1.5,291.497798088082,289.9924389294671,292.45878885369814,290.4249734238275,,,,,,,,
1992-10-31,ALL_US,0,0,285.64966,2934365.965760265,252418087.2318512,1.5,284.28057314829374,284.035824644463,284.9369976264904,282.2576047668946,,,,,,,,
1992-11-30,ALL_US,0,0,277.3957,2937835.5897876937,252683429.38054436,1.5,274.16941596249507,277.3408968068256,278.78616818525506,276.8469290843354,,,,,,,,
1992-12-31,ALL_US,0,0,272.707,2942910.0,252958036.39999998,1.5,267.73352073491253,271.347181092001,271.0691573794205,270.7916180349837,,,,,,,,
